ANO4,PERIODO,AGLOMERADO_NOM,NIVEL_ED_NOMBRE,tasa_actividad,tasa_empleo,tasa_desocupacion
2020,2020T3,Partidos del GBA,Superior incompleto,63.68337002028572,52.92761880098408,16.88941903651693
2020,2020T4,Gran San Juan,NS/NC,0.0,0.0,
2020,2020T4,Gran San Juan,Primaria completa,41.62902485567284,41.03722312133144,1.421608448415922
2020,2020T4,Gran San Juan,Primaria incompleta,9.177707676130389,8.769716088328074,4.445462878093492
2020,2020T4,Gran San Juan,Secundaria completa,63.835196076956635,61.640518058334216,3.438037561561844
2020,2020T4,Gran San Juan,Secundaria incompleta,36.15422721268164,34.08052619991193,5.7357083047880035
2020,2020T4,Gran San Juan,Superior completo,79.76946814303867,75.63804683245598,5.179201274320173
2020,2020T4,Gran San Juan,Superior incompleto,63.45616973757677,59.009694939343184,7.007159140903092
2020,2020T4,Partidos del GBA,NS/NC,82.78650105460511,67.58846965080853,18.35810332625619
2020,2020T4,Partidos del GBA,Primaria completa,45.4393596120148,40.88181673363188,10.029945222154597
2020,2020T4,Partidos del GBA,Primaria incompleta,17.456922777385675,12.048845189710141,30.97955840579963
2020,2020T4,Partidos del GBA,Secundaria completa,63.23307255140313,54.096250350652994,14.449435765315178
2020,2020T4,Partidos del GBA,Secundaria incompleta,41.48111810795204,31.847234423362696,23.224744471732315
2020,2020T4,Partidos del GBA,Superior completo,72.00465836141565,67.88437199798723,5.722249722715613
2020,2020T4,Partidos del GBA,Superior incompleto,66.78231630771427,58.46825172080868,12.449500176958058
2021,2021T1,Gran San Juan,NS/NC,13.097713097713099,13.097713097713099,0.0
2021,2021T1,Gran San Juan,Primaria completa,44.69413776116375,42.85403807702339,4.117094044801763
2021,2021T1,Gran San Juan,Primaria incompleta,14.04870588780499,13.147345737655536,6.415965693551047
2021,2021T1,Gran San Juan,Secundaria completa,64.27535204354324,61.59862127641008,4.16447468902201
2021,2021T1,Gran San Juan,Secundaria incompleta,38.852867052113325,36.22262275383691,6.769755999598353
2021,2021T1,Gran San Juan,Superior completo,74.87085615003956,73.79737213595395,1.4337808718713743
2021,2021T1,Gran San Juan,Superior incompleto,45.78703104487547,43.44988258787419,5.104389613536324
2021,2021T1,Partidos del GBA,NS/NC,38.30460297084174,38.30460297084174,0.0
2021,2021T1,Partidos del GBA,Primaria completa,49.576942593572014,44.85374025230035,9.527014160578887
2021,2021T1,Partidos del GBA,Primaria incompleta,14.0158813096561,12.115275641544564,13.56037216726524
2021,2021T1,Partidos del GBA,Secundaria completa,70.78914972598638,57.601934357594054,18.628865326731496
2021,2021T1,Partidos del GBA,Secundaria incompleta,37.313916505403775,31.786580077914728,14.813069613554447
2021,2021T1,Partidos del GBA,Superior completo,84.08285732397044,82.61585633556136,1.7447087731054893
2021,2021T1,Partidos del GBA,Superior incompleto,67.98855908665905,61.660634540563606,9.307337338962867
2021,2021T2,Gran San Juan,NS/NC,0.0,0.0,
2021,2021T2,Gran San Juan,Primaria completa,46.693066138677224,45.53308933821324,2.4842592195999487
2021,2021T2,Gran San Juan,Primaria incompleta,12.331251858459709,11.406482307463573,7.499397154569569
2021,2021T2,Gran San Juan,Secundaria completa,69.64758635185315,62.761858053667765,9.886528247223564
2021,2021T2,Gran San Juan,Secundaria incompleta,35.98374648361424,33.37260465004448,7.256447948683683
2021,2021T2,Gran San Juan,Superior completo,74.19361171643402,74.19361171643402,0.0
2021,2021T2,Gran San Juan,Superior incompleto,53.430704808031884,52.43933202159325,1.8554364760870592
2021,2021T2,Partidos del GBA,NS/NC,62.95829101274533,59.92267619016415,4.821628372928105
2021,2021T2,Partidos del GBA,Primaria completa,50.31416251774565,47.56006398357279,5.473803788747357
2021,2021T2,Partidos del GBA,Primaria incompleta,10.660166323565477,8.390991673912666,21.286484476668527
2021,2021T2,Partidos del GBA,Secundaria completa,67.24034956504059,63.12330264170672,6.122881498930203
2021,2021T2,Partidos del GBA,Secundaria incompleta,35.74667948104302,30.761007250394346,13.947231751392868
2021,2021T2,Partidos del GBA,Superior completo,73.7371692887429,69.82303031746197,5.308230583077846
2021,2021T2,Partidos del GBA,Superior incompleto,67.13788938101688,51.450053076613344,23.366591427044828
2021,2021T3,Gran San Juan,NS/NC,0.0,0.0,
2021,2021T3,Gran San Juan,Primaria completa,50.81556917234832,49.07346903549544,3.4282802795031055
2021,2021T3,Gran San Juan,Primaria incompleta,16.314088606724578,15.312507162338704,6.139364990165777
2021,2021T3,Gran San Juan,Secundaria completa,70.36007733204447,66.57695856584208,5.376797339703058
2021,2021T3,Gran San Juan,Secundaria incompleta,36.47263035814407,33.65079608906366,7.736854296965485
2021,2021T3,Gran San Juan,Superior completo,78.35366373795104,77.09630640621002,1.604720534761687
2021,2021T3,Gran San Juan,Superior incompleto,54.41142371309321,50.372932447055184,7.422138570261729
2021,2021T3,Partidos del GBA,NS/NC,64.9518805458006,64.9518805458006,0.0
2021,2021T3,Partidos del GBA,Primaria completa,48.27249778179217,44.97052820959026,6.840270804150025
